grid_m,normalized_grid,T_K,X_NH2,baseline,baseline_plus_OH
0.004781250000000001,0.4781250000000001,1977.6433807361896,6.313569382919829e-05,6.00033080257538e-05,5.6746426693517455e-05
0.004789062500000001,0.4789062500000001,1977.290625606444,5.64277927697895e-05,5.3192803655283585e-05,5.0287928478549824e-05
0.004796875000000001,0.4796875,1976.8532018742644,5.0269209333594285e-05,4.6940584950069205e-05,4.441384103576272e-05
0.004804687500000001,0.4804687500000001,1976.3331037130206,4.463852019783954e-05,4.125053740958788e-05,3.9095395510970096e-05
0.004812500000000001,0.4812500000000001,1975.7322376782674,3.951177830832212e-05,3.6110553669321306e-05,3.4301337798848385e-05
0.004820312500000001,0.4820312500000001,1975.0524063636346,3.486302703545028e-05,3.1497520621356817e-05,2.9998676284164875e-05
0.004828125000000001,0.4828125000000001,1974.2952942371578,3.066480920113608e-05,2.7381170582891848e-05,2.6153382857962813e-05
0.004835937500000001,0.4835937500000001,1973.462455806573,2.6888658898784408e-05,2.3726980922823186e-05,2.2731031343793825e-05
0.004843750000000001,0.4843750000000001,1972.5553061969747,2.3505565604838826e-05,2.049831674069492e-05,1.96973625137541e-05
0.004851562500000001,0.4851562500000001,1971.5751141603296,2.0486401924882008e-05,1.7657987448850525e-05,1.7018769537183378e-05
0.004859375000000001,0.4859375000000001,1970.5229974762199,1.7802308319463127e-05,1.5169355952458521e-05,1.4662701779026858e-05
0.004867187500000001,0.4867187500000001,1969.3999206492801,1.5425030206198093e-05,1.2997108847726887e-05,1.259798824107018e-05
0.004875000000000001,0.4875000000000001,1968.206694762881,1.3327204836151385e-05,1.1107770900607441e-05,1.0795084587183597e-05
0.004882812500000001,0.4882812500000001,1966.9439793122,1.1482597210105189e-05,9.47002731669441e-06,9.226249639436446e-06
0.004890625000000001,0.4890625000000001,1965.6122858137094,9.866285969350668e-06,8.054902220485561e-06,7.86565853827236e-06
0.004898437500000001,0.4898437500000001,1964.2119829729002,8.454801623034183e-06,6.835830354048752e-06,6.689460509129983e-06
0.004906250000000001,0.4906250000000001,1962.743303187702,7.2262206392904725e-06,5.788650401762052e-06,5.6757894569470775e-06
0.004914062500000001,0.4914062500000001,1961.2063501715206,6.16021983185041e-06,4.891541792358978e-06,4.804735507187026e-06
0.004921875000000001,0.4921875000000001,1959.6011074967075,5.238096139385125e-06,4.124921831398043e-06,4.058285209057917e-06
0.004929687500000001,0.4929687500000001,1957.9274478862808,4.442757359441567e-06,3.471316096945843e-06,3.4202374757359844e-06
0.004937500000000001,0.4937500000000001,1956.185143118136,3.758689700575844e-06,2.9152119505729593e-06,2.876101547165729e-06
0.004953125000000001,0.4953125000000001,1952.4934570389637,2.6819043408494163e-06,2.0546853846750704e-06,2.031704611903144e-06
0.004968750000000001,0.4968750000000001,1948.5223212601452,1.898909470445837e-06,1.4401351147276889e-06,1.426645134609806e-06
0.004984375000000001,0.4984375000000001,1944.2669222574127,1.3350344697489687e-06,1.004394650713723e-06,9.965023057767736e-07
0.005,0.5,1939.7216603203628,9.325812432992337e-07,6.973806378047558e-07,6.928014205646004e-07
0.005015624999999999,0.5015624999999999,1934.8803745745583,6.476908230107334e-07,4.822664801091665e-07,4.796462195168447e-07
0.005031249999999999,0.5031249999999999,1929.7365418488214,4.4752448011553537e-07,3.3229133270866184e-07,3.308188710824065e-07
0.005046874999999999,0.5046875,1924.2834465116107,3.0783259224102386e-07,2.2820117981105023e-07,2.2739006486713986e-07
0.005062499999999999,0.5062499999999999,1918.514321716913,2.1093189920462805e-07,1.5625644525793796e-07,1.558181013326328e-07
